source_dataset,split,image_id,class_name,image_member,label_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes,finalization_source
ICDAR MLT-2019,held_out_from_train,tr_img_00056,Arabic,TrainImages/TrainImages/tr_img_00056.jpg,,TrainGT/TrainGT/tr_img_00056.txt,85.2926,البلدية قصر,en,Municipality Palace,majority_vote_accept,,قصر,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_00069,Arabic,TrainImages/TrainImages/tr_img_00069.jpg,,TrainGT/TrainGT/tr_img_00069.txt,83.9451,ادْفَع البَابْ,en,Push the door,agreement_auto_accept,,ادْفَع,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00410,Arabic,TrainImages/TrainImages/tr_img_00410.png,,TrainGT/TrainGT/tr_img_00410.txt,83.9266,عمار اثاث,en,Ammar Furniture,agreement_auto_accept,,اثاث,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00427,Arabic,TrainImages/TrainImages/tr_img_00427.jpg,,TrainGT/TrainGT/tr_img_00427.txt,82.7361,حلو كسكروت,en,Sweet Sandwich,majority_vote_accept,,كسكروت,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_00432,Arabic,TrainImages/TrainImages/tr_img_00432.jpg,,TrainGT/TrainGT/tr_img_00432.txt,82.4502,هارديز,en,Hardee's,agreement_auto_accept,,هارديز,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00792,Arabic,TrainImages/TrainImages/tr_img_00792.jpg,,TrainGT/TrainGT/tr_img_00792.txt,82.4426,التَعليميَة المهَن نقَابةْ,en,Educational Professions Syndicate,agreement_auto_accept,,نقَابةْ,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00578,Arabic,TrainImages/TrainImages/tr_img_00578.jpg,,TrainGT/TrainGT/tr_img_00578.txt,82.3057,التجاريين نقابة,en,Traders' Syndicate,assistant_manual_review,,نقابة,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_00632,Arabic,TrainImages/TrainImages/tr_img_00632.jpg,,TrainGT/TrainGT/tr_img_00632.txt,82.0929,رمل,en,sand,agreement_auto_accept,,رمل,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00679,Arabic,TrainImages/TrainImages/tr_img_00679.jpg,,TrainGT/TrainGT/tr_img_00679.txt,81.8006,المنصورة,en,Al Mansoura,agreement_auto_accept,,المنصورة,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00946,Arabic,TrainImages/TrainImages/tr_img_00946.png,,TrainGT/TrainGT/tr_img_00946.txt,81.6793,روضة الصفاء,en,Rawdat Al Safa,agreement_auto_accept,,روضة,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01804,Latin,TrainImages/TrainImages/tr_img_01804.jpg,,TrainGT/TrainGT/tr_img_01804.txt,97.966,115,en,115,agreement_auto_accept,,115,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01835,Latin,TrainImages/TrainImages/tr_img_01835.jpg,,TrainGT/TrainGT/tr_img_01835.txt,97.2885,BBC,en,BBC,agreement_auto_accept,,BBC,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01633,Latin,TrainImages/TrainImages/tr_img_01633.jpg,,TrainGT/TrainGT/tr_img_01633.txt,97.1389,61,en,61,agreement_auto_accept,,61,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01530,Latin,TrainImages/TrainImages/tr_img_01530.jpg,,TrainGT/TrainGT/tr_img_01530.txt,97.0669,24,en,24,agreement_auto_accept,,24,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01081,Latin,TrainImages/TrainImages/tr_img_01081.jpg,,TrainGT/TrainGT/tr_img_01081.txt,97.0058,EAT,en,EAT,agreement_auto_accept,,EAT,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01121,Latin,TrainImages/TrainImages/tr_img_01121.jpg,,TrainGT/TrainGT/tr_img_01121.txt,96.8723,998,en,998,agreement_auto_accept,,998,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01052,Latin,TrainImages/TrainImages/tr_img_01052.jpg,,TrainGT/TrainGT/tr_img_01052.txt,96.6448,314,en,314,agreement_auto_accept,,314,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01644,Latin,TrainImages/TrainImages/tr_img_01644.jpg,,TrainGT/TrainGT/tr_img_01644.txt,96.6425,46,en,46,agreement_auto_accept,,46,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01441,Latin,TrainImages/TrainImages/tr_img_01441.jpg,,TrainGT/TrainGT/tr_img_01441.txt,96.4869,120,en,120,agreement_auto_accept,,120,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01817,Latin,TrainImages/TrainImages/tr_img_01817.jpg,,TrainGT/TrainGT/tr_img_01817.txt,96.2203,42,en,42,agreement_auto_accept,,42,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01220,Latin,TrainImages/TrainImages/tr_img_01220.jpg,,TrainGT/TrainGT/tr_img_01220.txt,95.9777,85,en,85,agreement_auto_accept,,85,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01806,Latin,TrainImages/TrainImages/tr_img_01806.jpg,,TrainGT/TrainGT/tr_img_01806.txt,95.1587,16781,en,16781,agreement_auto_accept,,16781,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_02853,Latin,TrainImages/TrainImages/tr_img_02853.jpg,,TrainGT/TrainGT/tr_img_02853.txt,94.3858,ateliers,en,workshops,agreement_auto_accept,,ateliers,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01354,Latin,TrainImages/TrainImages/tr_img_01354.jpg,,TrainGT/TrainGT/tr_img_01354.txt,94.3728,2421,en,2421,agreement_auto_accept,,2421,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01429,Latin,TrainImages/TrainImages/tr_img_01429.jpg,,TrainGT/TrainGT/tr_img_01429.txt,93.2247,Hospital,en,Hospital,agreement_auto_accept,,Hospital,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01024,Latin,TrainImages/TrainImages/tr_img_01024.jpg,,TrainGT/TrainGT/tr_img_01024.txt,93.0664,JobCenter,en,JobCenter,majority_vote_accept,,JobCenter,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_02991,Latin,TrainImages/TrainImages/tr_img_02991.jpg,,TrainGT/TrainGT/tr_img_02991.txt,92.984,BOULANGER,en,Baker,majority_vote_accept,,BOULANGER,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_01552,Latin,TrainImages/TrainImages/tr_img_01552.jpg,,TrainGT/TrainGT/tr_img_01552.txt,92.9068,LeVI'S R,en,Levi's R,majority_vote_accept,,LeVI'S,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_01455,Latin,TrainImages/TrainImages/tr_img_01455.jpg,,TrainGT/TrainGT/tr_img_01455.txt,92.8935,Google,en,Google,agreement_auto_accept,,Google,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01112,Latin,TrainImages/TrainImages/tr_img_01112.jpg,,TrainGT/TrainGT/tr_img_01112.txt,92.5195,8712,en,8712,agreement_auto_accept,,8712,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03248,Chinese,TrainImages/TrainImages/tr_img_03248.jpg,,TrainGT/TrainGT/tr_img_03248.txt,95.8756,这儿是哪儿,en,Where is this?,agreement_auto_accept,,这儿是哪儿,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03063,Chinese,TrainImages/TrainImages/tr_img_03063.jpg,,TrainGT/TrainGT/tr_img_03063.txt,95.6298,易酷网吧,en,Yiku Internet Café,agreement_auto_accept,,易酷网吧,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03851,Chinese,TrainImages/TrainImages/tr_img_03851.jpg,,TrainGT/TrainGT/tr_img_03851.txt,94.3113,建于2000,en,Built in 2000,agreement_auto_accept,,建于2000,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03653,Chinese,TrainImages/TrainImages/tr_img_03653.jpg,,TrainGT/TrainGT/tr_img_03653.txt,94.0752,员工平安,en,Employee Safety,agreement_auto_accept,,员工平安,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03315,Chinese,TrainImages/TrainImages/tr_img_03315.jpg,,TrainGT/TrainGT/tr_img_03315.txt,94.0198,中航科技大,en,Zhonghang Science and Technology University,assistant_manual_review,,中航科技大,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03149,Chinese,TrainImages/TrainImages/tr_img_03149.jpg,,TrainGT/TrainGT/tr_img_03149.txt,93.5979,牛肉汤碗蒸菜,en,Beef Soup and Steamed Dishes,assistant_manual_review,,牛肉汤碗蒸菜,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03297,Chinese,TrainImages/TrainImages/tr_img_03297.jpg,,TrainGT/TrainGT/tr_img_03297.txt,92.8723,理想北大美梦成真,en,Peking University dream comes true,assistant_manual_review,,理想北大美梦成真,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03871,Chinese,TrainImages/TrainImages/tr_img_03871.jpg,,TrainGT/TrainGT/tr_img_03871.txt,92.7151,老蒸笼,en,Old Steamer,majority_vote_accept,,老蒸笼,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_03716,Chinese,TrainImages/TrainImages/tr_img_03716.jpg,,TrainGT/TrainGT/tr_img_03716.txt,92.5391,迎奥,en,Welcome the Olympics,assistant_manual_review,,迎奥,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03474,Chinese,TrainImages/TrainImages/tr_img_03474.jpg,,TrainGT/TrainGT/tr_img_03474.txt,92.0954,岷江桥,en,Minjiang Bridge,agreement_auto_accept,,岷江桥,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03806,Chinese,TrainImages/TrainImages/tr_img_03806.jpg,,TrainGT/TrainGT/tr_img_03806.txt,91.0904,老天津卫炸酱面,en,Old Tianjin Zhajiang Noodles,assistant_manual_review,,老天津卫炸酱面,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03148,Chinese,TrainImages/TrainImages/tr_img_03148.jpg,,TrainGT/TrainGT/tr_img_03148.txt,91.0385,神木車站,en,Shenmu Station,agreement_auto_accept,,神木車站,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03914,Chinese,TrainImages/TrainImages/tr_img_03914.jpg,,TrainGT/TrainGT/tr_img_03914.txt,91.0362,欢迎你们参加全国高考,en,Welcome to the National College Entrance Examination.,agreement_auto_accept,,欢迎你们参加全国高考,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03372,Chinese,TrainImages/TrainImages/tr_img_03372.jpg,,TrainGT/TrainGT/tr_img_03372.txt,90.9495,北京双舟台球俱乐部,en,Beijing Shuangzhou Billiards Club,agreement_auto_accept,,北京双舟台球俱乐部,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03402,Chinese,TrainImages/TrainImages/tr_img_03402.jpg,,TrainGT/TrainGT/tr_img_03402.txt,90.1554,觀雲白建勑,en,Guan Yun Bai Jian Chi,majority_vote_accept,,觀雲白建勑,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_03159,Chinese,TrainImages/TrainImages/tr_img_03159.jpg,,TrainGT/TrainGT/tr_img_03159.txt,89.9705,全国现代农作物种业工作会议,en,National Modern Crop Seed Industry Work Conference,agreement_auto_accept,,全国现代农作物种业工作会议,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03218,Chinese,TrainImages/TrainImages/tr_img_03218.jpg,,TrainGT/TrainGT/tr_img_03218.txt,89.9631,"高三·十六班 妈,我要回来!",en,"Senior Year, Class 16 — Mom, I'm coming back!",assistant_manual_review,,"妈,我要回来!",assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03887,Chinese,TrainImages/TrainImages/tr_img_03887.jpg,,TrainGT/TrainGT/tr_img_03887.txt,89.6047,消防通道 停车,en,Fire lane parking,majority_vote_accept,,消防通道,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_03505,Chinese,TrainImages/TrainImages/tr_img_03505.jpg,,TrainGT/TrainGT/tr_img_03505.txt,89.2252,韵湘轩 湘菜,en,Yun Xiang Xuan — Hunan Cuisine,assistant_manual_review,,韵湘轩,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03893,Chinese,TrainImages/TrainImages/tr_img_03893.jpg,,TrainGT/TrainGT/tr_img_03893.txt,89.1517,"皇粮国税,不交有罪。",en,Imperial grain and state taxes—failure to pay is a crime.,assistant_manual_review,,"皇粮国税,不交有罪。",assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_05241,Korean,TrainImages/TrainImages/tr_img_05241.jpg,,TrainGT/TrainGT/tr_img_05241.txt,95.6587,비상전화,en,Emergency telephone,majority_vote_accept,,비상전화,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_05675,Korean,TrainImages/TrainImages/tr_img_05675.jpg,,TrainGT/TrainGT/tr_img_05675.txt,94.6103,샤브샤브,en,Shabu-shabu,agreement_auto_accept,,샤브샤브,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05212,Korean,TrainImages/TrainImages/tr_img_05212.jpg,,TrainGT/TrainGT/tr_img_05212.txt,94.2841,우리은행,en,Woori Bank,agreement_auto_accept,,우리은행,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05984,Korean,TrainImages/TrainImages/tr_img_05984.jpg,,TrainGT/TrainGT/tr_img_05984.txt,92.9899,정숙,en,Jeongsuk,agreement_auto_accept,,정숙,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05370,Korean,TrainImages/TrainImages/tr_img_05370.jpg,,TrainGT/TrainGT/tr_img_05370.txt,91.3728,담배,en,Cigarettes,agreement_auto_accept,,담배,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05012,Korean,TrainImages/TrainImages/tr_img_05012.jpg,,TrainGT/TrainGT/tr_img_05012.txt,91.126,홍보관,en,Promotional Hall,agreement_auto_accept,,홍보관,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05083,Korean,TrainImages/TrainImages/tr_img_05083.jpg,,TrainGT/TrainGT/tr_img_05083.txt,91.1086,"뻥,콩 튀겨드림",en,We puff grains and beans for you,assistant_manual_review,,"뻥,콩",assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_05755,Korean,TrainImages/TrainImages/tr_img_05755.jpg,,TrainGT/TrainGT/tr_img_05755.txt,90.861,미래하우스,en,Mirae House,agreement_auto_accept,,미래하우스,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05805,Korean,TrainImages/TrainImages/tr_img_05805.jpg,,TrainGT/TrainGT/tr_img_05805.txt,90.4716,한국현대 의상박물관,en,Korean Modern Costume Museum,agreement_auto_accept,,한국현대,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05054,Korean,TrainImages/TrainImages/tr_img_05054.jpg,,TrainGT/TrainGT/tr_img_05054.txt,90.1694,빈그릇,en,Empty bowl,agreement_auto_accept,,빈그릇,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05225,Korean,TrainImages/TrainImages/tr_img_05225.jpg,,TrainGT/TrainGT/tr_img_05225.txt,90.0996,팔리아멘트 수퍼슬림,en,Parliament Super Slim,agreement_auto_accept,,팔리아멘트,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05299,Korean,TrainImages/TrainImages/tr_img_05299.jpg,,TrainGT/TrainGT/tr_img_05299.txt,90.0477,항의길,en,Hangui-gil,majority_vote_accept,,항의길,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_05658,Korean,TrainImages/TrainImages/tr_img_05658.jpg,,TrainGT/TrainGT/tr_img_05658.txt,89.5721,다양한,en,various,agreement_auto_accept,,다양한,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05144,Korean,TrainImages/TrainImages/tr_img_05144.jpg,,TrainGT/TrainGT/tr_img_05144.txt,89.4496,"역주행,",en,Wrong-way driving,majority_vote_accept,,"역주행,",agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_05456,Korean,TrainImages/TrainImages/tr_img_05456.jpg,,TrainGT/TrainGT/tr_img_05456.txt,89.2779,머리고기 해물파전,en,"Pork head meat, seafood scallion pancake",majority_vote_accept,,머리고기,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_05308,Korean,TrainImages/TrainImages/tr_img_05308.jpg,,TrainGT/TrainGT/tr_img_05308.txt,89.2308,흥사단,en,Heungsadan,agreement_auto_accept,,흥사단,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05316,Korean,TrainImages/TrainImages/tr_img_05316.jpg,,TrainGT/TrainGT/tr_img_05316.txt,89.2159,코코리빙텔,en,Coco Livingtel,agreement_auto_accept,,코코리빙텔,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05200,Korean,TrainImages/TrainImages/tr_img_05200.jpg,,TrainGT/TrainGT/tr_img_05200.txt,89.1005,월풀빨래방,en,Whirlpool Laundromat,agreement_auto_accept,,월풀빨래방,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05134,Korean,TrainImages/TrainImages/tr_img_05134.jpg,,TrainGT/TrainGT/tr_img_05134.txt,89.0964,소화기함,en,Fire extinguisher cabinet,agreement_auto_accept,,소화기함,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05742,Korean,TrainImages/TrainImages/tr_img_05742.jpg,,TrainGT/TrainGT/tr_img_05742.txt,88.8854,귀걸이,en,earrings,agreement_auto_accept,,귀걸이,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06975,Japanese,TrainImages/TrainImages/tr_img_06975.jpg,,TrainGT/TrainGT/tr_img_06975.txt,96.5608,山田,en,Yamada,agreement_auto_accept,,山田,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06623,Japanese,TrainImages/TrainImages/tr_img_06623.jpg,,TrainGT/TrainGT/tr_img_06623.txt,93.2816,ココ入る,en,Enter here,agreement_auto_accept,,ココ入る,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06738,Japanese,TrainImages/TrainImages/tr_img_06738.jpg,,TrainGT/TrainGT/tr_img_06738.txt,92.0162,左折出庫,en,Turn left when exiting,assistant_manual_review,,左折出庫,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_06150,Japanese,TrainImages/TrainImages/tr_img_06150.jpg,,TrainGT/TrainGT/tr_img_06150.txt,91.9974,深-144,en,Shin-144,majority_vote_accept,,深-144,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06672,Japanese,TrainImages/TrainImages/tr_img_06672.jpg,,TrainGT/TrainGT/tr_img_06672.txt,91.4811,合流注意,en,Merge Ahead,agreement_auto_accept,,合流注意,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06962,Japanese,TrainImages/TrainImages/tr_img_06962.jpg,,TrainGT/TrainGT/tr_img_06962.txt,91.2363,ビデオ,en,Video,agreement_auto_accept,,ビデオ,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06693,Japanese,TrainImages/TrainImages/tr_img_06693.jpg,,TrainGT/TrainGT/tr_img_06693.txt,90.9928,止マレ,en,STOP,agreement_auto_accept,,止マレ,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06147,Japanese,TrainImages/TrainImages/tr_img_06147.jpg,,TrainGT/TrainGT/tr_img_06147.txt,89.7262,まんが喫茶 受付B1,en,Manga Cafe Reception B1,agreement_auto_accept,,まんが喫茶,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06430,Japanese,TrainImages/TrainImages/tr_img_06430.jpg,,TrainGT/TrainGT/tr_img_06430.txt,88.8859,佐ムホ,en,Samho,majority_vote_accept,,佐ムホ,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06383,Japanese,TrainImages/TrainImages/tr_img_06383.jpg,,TrainGT/TrainGT/tr_img_06383.txt,88.8382,館 水車町6丁目,en,"Hall, Suishamachi 6-chome",majority_vote_accept,,館,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06008,Japanese,TrainImages/TrainImages/tr_img_06008.jpg,,TrainGT/TrainGT/tr_img_06008.txt,88.4565,用店デえ,en,Yōten De-e,assistant_manual_review,,用店デえ,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_06997,Japanese,TrainImages/TrainImages/tr_img_06997.jpg,,TrainGT/TrainGT/tr_img_06997.txt,88.1551,左側通行,en,Keep left,agreement_auto_accept,,左側通行,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06942,Japanese,TrainImages/TrainImages/tr_img_06942.jpg,,TrainGT/TrainGT/tr_img_06942.txt,87.564,標凖発車時刻表,en,Standard Departure Timetable,agreement_auto_accept,,標凖発車時刻表,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06203,Japanese,TrainImages/TrainImages/tr_img_06203.jpg,,TrainGT/TrainGT/tr_img_06203.txt,86.7975,はり紙禁止 静岡県警察本部,en,No Posting Notices — Shizuoka Prefectural Police Headquarters,majority_vote_accept,,静岡県警察本部,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06305,Japanese,TrainImages/TrainImages/tr_img_06305.jpg,,TrainGT/TrainGT/tr_img_06305.txt,86.6196,博多えメン 長浜や,en,Hakata E-Men Nagahamaya,agreement_auto_accept,,博多えメン,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06881,Japanese,TrainImages/TrainImages/tr_img_06881.jpg,,TrainGT/TrainGT/tr_img_06881.txt,86.4417,日本の酒 シフク,en,Japanese Sake Shifuku,majority_vote_accept,,日本の酒,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06501,Japanese,TrainImages/TrainImages/tr_img_06501.jpg,,TrainGT/TrainGT/tr_img_06501.txt,85.928,ロンヅエヴイテ 元住吉,en,Longévité Motosumiyoshi,assistant_manual_review,,ロンヅエヴイテ,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_06166,Japanese,TrainImages/TrainImages/tr_img_06166.jpg,,TrainGT/TrainGT/tr_img_06166.txt,85.8417,JR東日本,en,JR East,agreement_auto_accept,,JR東日本,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06761,Japanese,TrainImages/TrainImages/tr_img_06761.jpg,,TrainGT/TrainGT/tr_img_06761.txt,85.6303,幾度,en,how many times,agreement_auto_accept,,幾度,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06616,Japanese,TrainImages/TrainImages/tr_img_06616.jpg,,TrainGT/TrainGT/tr_img_06616.txt,85.6031,きょう、 信託はじめました,en,"Today, we started a trust.",majority_vote_accept,,きょう、,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_08389,Bangla,TrainImages/TrainImages/tr_img_08389.jpg,,TrainGT/TrainGT/tr_img_08389.txt,93.798,জেরক্স,en,Xerox,agreement_auto_accept,,জেরক্স,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08082,Bangla,TrainImages/TrainImages/tr_img_08082.jpg,,TrainGT/TrainGT/tr_img_08082.txt,93.5822,সাইকেল,en,Bicycle,agreement_auto_accept,,সাইকেল,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08288,Bangla,TrainImages/TrainImages/tr_img_08288.jpg,,TrainGT/TrainGT/tr_img_08288.txt,93.0456,নটরাজ,en,Nataraj,majority_vote_accept,,নটরাজ,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_08060,Bangla,TrainImages/TrainImages/tr_img_08060.jpg,,TrainGT/TrainGT/tr_img_08060.txt,92.6495,বেলঘরিয়া,en,Belgharia,agreement_auto_accept,,বেলঘরিয়া,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08381,Bangla,TrainImages/TrainImages/tr_img_08381.jpg,,TrainGT/TrainGT/tr_img_08381.txt,92.3637,শ্রীগুরু,en,Shri Guru,agreement_auto_accept,,শ্রীগুরু,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08513,Bangla,TrainImages/TrainImages/tr_img_08513.jpg,,TrainGT/TrainGT/tr_img_08513.txt,91.9207,উন্নয়নের,en,of development,agreement_auto_accept,,উন্নয়নের,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08602,Bangla,TrainImages/TrainImages/tr_img_08602.jpg,,TrainGT/TrainGT/tr_img_08602.txt,91.8068,মানসী,en,Mansi,agreement_auto_accept,,মানসী,agreed_two_pass
