source_dataset,split,image_id,class_name,image_member,label_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes,finalization_source
ReCTS,val,train_ReCTS_019652,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019652.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019652.txt,gt/train_ReCTS_019652.json,97.3759,陈五味,en,Chen Wuwei,majority_vote_accept,,陈五味,agreed_two_of_three
ReCTS,val,train_ReCTS_019875,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019875.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019875.txt,gt/train_ReCTS_019875.json,96.0861,青田寿司,en,Qingtian Sushi,agreement_auto_accept,,青田寿司,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03716,Chinese,TrainImages/TrainImages/tr_img_03716.jpg,,TrainGT/TrainGT/tr_img_03716.txt,92.5391,迎奥,en,Welcome the Olympics,assistant_manual_review,,迎奥,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03372,Chinese,TrainImages/TrainImages/tr_img_03372.jpg,,TrainGT/TrainGT/tr_img_03372.txt,90.9495,北京双舟台球俱乐部,en,Beijing Shuangzhou Billiards Club,agreement_auto_accept,,北京双舟台球俱乐部,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03871,Chinese,TrainImages/TrainImages/tr_img_03871.jpg,,TrainGT/TrainGT/tr_img_03871.txt,92.7151,老蒸笼,en,Old Steamer,majority_vote_accept,,老蒸笼,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_03297,Chinese,TrainImages/TrainImages/tr_img_03297.jpg,,TrainGT/TrainGT/tr_img_03297.txt,92.8723,理想北大美梦成真,en,Peking University dream comes true,assistant_manual_review,,理想北大美梦成真,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_03159,Chinese,TrainImages/TrainImages/tr_img_03159.jpg,,TrainGT/TrainGT/tr_img_03159.txt,89.9705,全国现代农作物种业工作会议,en,National Modern Crop Seed Industry Work Conference,agreement_auto_accept,,全国现代农作物种业工作会议,agreed_two_pass
ReCTS,val,train_ReCTS_019701,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019701.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019701.txt,gt/train_ReCTS_019701.json,95.8207,胖哥凉皮,en,Fat Brother Liangpi,majority_vote_accept,,胖哥凉皮,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_03474,Chinese,TrainImages/TrainImages/tr_img_03474.jpg,,TrainGT/TrainGT/tr_img_03474.txt,92.0954,岷江桥,en,Minjiang Bridge,agreement_auto_accept,,岷江桥,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_03505,Chinese,TrainImages/TrainImages/tr_img_03505.jpg,,TrainGT/TrainGT/tr_img_03505.txt,89.2252,韵湘轩 湘菜,en,Yun Xiang Xuan — Hunan Cuisine,assistant_manual_review,,韵湘轩,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_09496,Hindi,TrainImages/TrainImages/tr_img_09496.jpg,,TrainGT/TrainGT/tr_img_09496.txt,95.9501,मनाली,en,Manali,agreement_auto_accept,,मनाली,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_09485,Hindi,TrainImages/TrainImages/tr_img_09485.jpg,,TrainGT/TrainGT/tr_img_09485.txt,95.9239,बेकरी,en,Bakery,agreement_auto_accept,,बेकरी,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_09416,Hindi,TrainImages/TrainImages/tr_img_09416.jpg,,TrainGT/TrainGT/tr_img_09416.txt,95.8315,राजगड,en,Rajgad,agreement_auto_accept,,राजगड,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_09011,Hindi,TrainImages/TrainImages/tr_img_09011.jpg,,TrainGT/TrainGT/tr_img_09011.txt,95.164,सुनिता,en,Sunita,agreement_auto_accept,,सुनिता,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_09913,Hindi,TrainImages/TrainImages/tr_img_09913.jpg,,TrainGT/TrainGT/tr_img_09913.txt,96.2804,औषधे,en,Medicines,agreement_auto_accept,,औषधे,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06203,Japanese,TrainImages/TrainImages/tr_img_06203.jpg,,TrainGT/TrainGT/tr_img_06203.txt,86.7975,はり紙禁止 静岡県警察本部,en,No Posting Notices — Shizuoka Prefectural Police Headquarters,majority_vote_accept,,静岡県警察本部,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06501,Japanese,TrainImages/TrainImages/tr_img_06501.jpg,,TrainGT/TrainGT/tr_img_06501.txt,85.928,ロンヅエヴイテ 元住吉,en,Longévité Motosumiyoshi,assistant_manual_review,,ロンヅエヴイテ,assistant_manual_resolution
ICDAR MLT-2019,held_out_from_train,tr_img_06881,Japanese,TrainImages/TrainImages/tr_img_06881.jpg,,TrainGT/TrainGT/tr_img_06881.txt,86.4417,日本の酒 シフク,en,Japanese Sake Shifuku,majority_vote_accept,,日本の酒,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_06147,Japanese,TrainImages/TrainImages/tr_img_06147.jpg,,TrainGT/TrainGT/tr_img_06147.txt,89.7262,まんが喫茶 受付B1,en,Manga Cafe Reception B1,agreement_auto_accept,,まんが喫茶,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_06166,Japanese,TrainImages/TrainImages/tr_img_06166.jpg,,TrainGT/TrainGT/tr_img_06166.txt,85.8417,JR東日本,en,JR East,agreement_auto_accept,,JR東日本,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05755,Korean,TrainImages/TrainImages/tr_img_05755.jpg,,TrainGT/TrainGT/tr_img_05755.txt,90.861,미래하우스,en,Mirae House,agreement_auto_accept,,미래하우스,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05054,Korean,TrainImages/TrainImages/tr_img_05054.jpg,,TrainGT/TrainGT/tr_img_05054.txt,90.1694,빈그릇,en,Empty bowl,agreement_auto_accept,,빈그릇,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05658,Korean,TrainImages/TrainImages/tr_img_05658.jpg,,TrainGT/TrainGT/tr_img_05658.txt,89.5721,다양한,en,various,agreement_auto_accept,,다양한,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05742,Korean,TrainImages/TrainImages/tr_img_05742.jpg,,TrainGT/TrainGT/tr_img_05742.txt,88.8854,귀걸이,en,earrings,agreement_auto_accept,,귀걸이,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_05225,Korean,TrainImages/TrainImages/tr_img_05225.jpg,,TrainGT/TrainGT/tr_img_05225.txt,90.0996,팔리아멘트 수퍼슬림,en,Parliament Super Slim,agreement_auto_accept,,팔리아멘트,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01429,Latin,TrainImages/TrainImages/tr_img_01429.jpg,,TrainGT/TrainGT/tr_img_01429.txt,93.2247,Hospital,en,Hospital,agreement_auto_accept,,Hospital,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01455,Latin,TrainImages/TrainImages/tr_img_01455.jpg,,TrainGT/TrainGT/tr_img_01455.txt,92.8935,Google,en,Google,agreement_auto_accept,,Google,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_01354,Latin,TrainImages/TrainImages/tr_img_01354.jpg,,TrainGT/TrainGT/tr_img_01354.txt,94.3728,2421,en,2421,agreement_auto_accept,,2421,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_02991,Latin,TrainImages/TrainImages/tr_img_02991.jpg,,TrainGT/TrainGT/tr_img_02991.txt,92.984,BOULANGER,en,Baker,majority_vote_accept,,BOULANGER,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_01804,Latin,TrainImages/TrainImages/tr_img_01804.jpg,,TrainGT/TrainGT/tr_img_01804.txt,97.966,115,en,115,agreement_auto_accept,,115,agreed_two_pass
